id,count
0,108.67
1,202.43
2,80.63
4,30.55
5,79.32
10,121.3
11,198.48
12,326.39
15,36.39
17,115.64
18,298.9
23,236.11
25,82.36
26,39.21
31,199.51
39,148.6
40,25.65
41,197.11
42,365.19
43,143.56
51,231.37
52,94.62
54,16.81
60,141.49
61,137.04
62,115.59
63,29.32
65,114.93
66,114.46
68,157.26
71,74.44
80,29.83
82,72.82
94,128.93
98,273.0
101,35.83
102,129.95
107,100.31
112,254.56
113,83.13
115,59.74
116,121.64
120,145.76
121,81.14
122,334.51
132,181.31
143,95.01
147,67.57
150,16.84
151,84.03
152,226.43
153,92.33
155,186.47
156,82.89
159,189.07
161,135.27
163,46.03
177,179.43
186,13.99
188,19.3
190,95.22
191,83.31
192,268.61
195,316.1
200,134.93
209,315.72
210,14.85
211,245.9
214,115.83
215,26.6
218,99.88
219,32.03
222,130.28
225,15.25
228,318.87
236,227.53
241,35.43
242,202.17
243,240.74
245,19.33
247,239.46
251,131.24
252,87.9
253,86.39
254,87.5
258,330.81
260,62.61
261,173.28
265,118.07
266,278.08
267,304.51
269,145.37
270,71.52
275,99.09
278,34.88
279,81.85
286,100.62
287,28.06
288,230.78
289,129.44
293,18.04
294,164.12
297,45.09
302,121.2
303,70.42
304,81.6
307,101.43
309,17.23
311,169.02
312,138.58
314,177.63
315,237.63
319,153.47
322,116.97
323,69.85
325,117.61
327,239.61
330,34.79
332,207.17
333,16.16
338,103.75
341,110.48
345,199.58
348,113.1
349,46.64
350,117.56
352,61.8
355,14.04
356,239.85
358,61.85
363,124.35
369,156.88
371,16.71
372,133.6
375,303.89
380,130.19
388,45.83
391,145.38
392,258.29
393,378.35
394,202.37
396,27.93
401,38.08
407,114.25
409,86.43
410,116.16
416,114.66
418,123.41
420,143.75
421,237.94
422,119.92
424,291.5
428,353.17
429,220.77
431,163.43
435,9.74
439,114.89
441,11.24
447,98.76
449,143.52
451,145.21
452,15.73
454,209.93
458,211.63
463,125.78
467,14.36
470,247.36
471,153.29
474,295.82
478,17.07
483,126.27
484,130.11
485,90.99
486,128.9
491,94.11
494,106.84
495,243.0
497,216.62
499,160.68
515,106.09
518,207.56
521,177.77
525,158.13
529,224.39
532,151.95
534,113.1
540,117.06
544,303.67
547,153.63
