index,quality
0,6
1,6
2,5
3,5
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,7
13,6
14,6
15,5
16,6
17,6
18,5
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,6
27,5
28,7
29,5
30,7
31,7
32,5
33,6
34,6
35,6
36,5
37,5
38,6
39,6
40,7
41,5
42,6
43,5
44,6
45,7
46,5
47,6
48,4
49,6
50,5
51,5
52,6
53,4
54,5
55,6
56,5
57,3
58,6
59,6
60,5
61,6
62,5
63,4
64,5
65,6
66,6
67,5
68,6
69,5
70,5
71,5
72,5
73,6
74,6
75,5
76,7
77,6
78,8
79,7
80,7
81,6
82,5
83,6
84,6
85,5
86,5
87,6
88,7
89,7
90,6
91,6
92,5
93,6
94,6
95,7
96,7
97,7
98,6
99,6
100,5
101,6
102,6
103,6
104,6
105,6
106,5
107,6
108,7
109,6
110,7
111,4
112,6
113,5
114,5
115,6
116,5
117,7
118,7
119,6
120,7
121,5
122,7
123,7
124,5
125,5
126,6
127,6
128,6
129,6
130,5
131,5
132,4
133,5
134,5
135,5
136,6
137,7
138,6
139,5
140,5
141,6
142,5
143,5
144,5
145,5
146,7
147,6
148,8
149,6
150,5
151,8
152,6
153,4
154,5
155,5
156,5
157,5
158,6
159,5
160,5
161,6
162,6
163,7
164,6
165,5
166,5
167,6
168,5
169,6
170,5
171,5
172,6
173,5
174,6
175,5
176,6
177,5
178,5
179,5
180,6
181,6
182,7
183,6
184,5
185,6
186,5
187,6
188,5
189,5
190,6
191,7
192,6
193,6
194,3
195,4
196,6
197,5
198,7
199,5
200,5
201,6
202,6
203,5
204,5
205,5
206,6
207,6
208,6
209,6
210,7
211,5
212,6
213,5
214,6
215,7
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,7
225,6
226,6
227,5
228,6
229,5
230,5
231,7
232,7
233,7
234,5
235,6
236,6
237,6
238,6
239,7
240,6
241,6
242,6
243,6
244,7
245,5
246,6
247,7
248,5
249,6
250,5
251,6
252,8
253,7
254,6
255,6
256,6
257,7
258,6
259,6
260,7
261,5
262,6
263,7
264,5
265,5
266,6
267,5
268,5
269,5
270,7
271,5
272,5
273,5
274,6
275,5
276,6
277,7
278,5
279,6
280,6
281,6
282,7
283,6
284,7
285,7
286,5
287,7
288,6
289,6
290,5
291,5
292,6
293,7
294,5
295,7
296,8
297,6
298,5
299,8
300,6
301,6
302,5
303,5
304,6
305,7
306,5
307,7
308,5
309,5
310,6
311,6
312,6
313,5
314,6
315,6
316,5
317,6
318,6
319,5
320,5
321,5
322,5
323,5
324,5
325,6
326,6
327,6
328,7
329,5
330,4
331,6
332,8
333,6
334,5
335,7
336,5
337,6
338,6
339,6
340,5
341,6
342,7
343,6
344,5
345,7
346,5
347,8
348,5
349,6
350,5
351,6
352,5
353,6
354,6
355,5
356,7
357,6
358,6
359,6
360,5
361,6
362,6
363,7
364,6
365,8
366,5
367,3
368,6
369,6
370,7
371,6
372,5
373,5
374,6
375,5
376,6
377,6
378,6
379,6
380,7
381,6
382,7
383,7
384,5
385,6
386,6
387,5
388,6
389,6
390,7
391,5
392,7
393,6
394,5
395,6
396,7
397,6
398,7
399,5
400,7
401,6
402,3
403,6
404,7
405,5
406,8
407,6
408,6
409,6
410,6
411,5
412,6
413,5
414,6
415,7
416,6
417,6
418,5
419,6
420,7
421,6
422,5
423,5
424,5
425,6
426,6
427,6
428,5
429,6
430,7
431,6
432,5
433,7
434,8
435,4
436,6
437,6
438,5
439,6
440,5
441,7
442,4
443,5
444,8
445,6
446,5
447,5
448,5
449,6
450,6
451,5
452,5
453,5
454,5
455,6
456,7
457,6
458,5
459,5
460,5
461,6
462,6
463,5
464,6
465,5
466,6
467,6
468,6
469,5
470,5
471,5
472,5
473,6
474,5
475,4
476,6
477,8
478,7
479,5
480,6
481,7
482,5
483,5
484,8
485,5
486,5
487,6
488,6
489,7
490,6
491,6
492,5
493,7
494,5
495,6
496,6
497,5
498,6
499,6
500,7
501,4
502,6
503,7
504,6
505,5
506,6
507,7
508,6
509,7
510,5
511,6
512,6
513,6
514,7
515,6
516,5
517,7
518,5
519,5
520,5
521,5
522,5
523,6
524,6
525,5
526,6
527,7
528,6
529,6
530,5
531,5
532,5
533,5
534,7
535,6
536,6
537,6
538,6
539,5
540,5
541,6
542,6
543,4
544,7
545,4
546,7
547,5
548,6
549,7
550,4
551,6
552,8
553,4
554,5
555,6
556,6
557,5
558,6
559,6
560,5
561,6
562,6
563,8
564,7
565,7
566,6
567,7
568,5
569,4
570,5
571,6
572,5
573,7
574,6
575,5
576,6
577,5
578,5
579,6
580,6
581,7
582,5
583,5
584,6
585,7
586,7
587,7
588,5
589,6
590,7
591,5
592,8
593,6
594,5
595,5
596,6
597,5
598,5
599,6
600,6
601,6
602,6
603,7
604,5
605,6
606,5
607,5
608,7
609,5
610,8
611,5
612,7
613,5
614,6
615,7
616,5
617,5
618,6
619,6
620,7
621,6
622,6
623,6
624,6
625,5
626,5
627,8
628,5
629,5
630,5
631,6
632,6
633,5
634,5
635,7
636,6
637,8
638,8
639,5
640,6
641,6
642,6
643,5
644,6
645,5
646,5
647,6
648,5
649,5
650,6
651,5
652,7
653,7
654,7
655,5
656,6
657,5
658,6
659,5
660,7
661,6
662,6
663,6
664,6
665,6
666,8
667,5
668,5
669,5
670,6
671,6
672,6
673,7
674,5
675,5
676,6
677,6
678,7
679,7
680,7
681,6
